name,month,market,metric_value
# Monthly Active Users,2023-01-01 00:00:00,Denmark,10000
# Monthly Active Users,2023-02-01 00:00:00,Denmark,10800
# Monthly Active Users,2023-03-01 00:00:00,Denmark,10368
# Monthly Active Users,2023-04-01 00:00:00,Denmark,9850
# Monthly Active Users,2023-05-01 00:00:00,Denmark,10737
# Monthly Active Users,2023-06-01 00:00:00,Denmark,10415
# Monthly Active Users,2023-07-01 00:00:00,Denmark,9894
# Monthly Active Users,2023-08-01 00:00:00,Denmark,10191
# Monthly Active Users,2023-09-01 00:00:00,Denmark,11210
# Monthly Active Users,2023-10-01 00:00:00,Denmark,12219
# Monthly Active Users,2023-11-01 00:00:00,Denmark,11975
# Monthly Active Users,2023-12-01 00:00:00,Denmark,11855
# Monthly Active Users,2024-01-01 00:00:00,Denmark,12685
# Monthly Active Users,2024-02-01 00:00:00,Denmark,13954
# Monthly Active Users,2024-03-01 00:00:00,Denmark,13396
# Monthly Active Users,2024-04-01 00:00:00,Denmark,13128
# Monthly Active Users,2024-05-01 00:00:00,Denmark,13259
# Monthly Active Users,2024-06-01 00:00:00,Denmark,13259
# Monthly Active Users,2024-07-01 00:00:00,Denmark,12596
# Monthly Active Users,2024-08-01 00:00:00,Denmark,12974
# Monthly Active Users,2024-09-01 00:00:00,Denmark,14142
# Monthly Active Users,2024-10-01 00:00:00,Denmark,15415
# Monthly Active Users,2024-11-01 00:00:00,Denmark,15261
# Monthly Active Users,2024-12-01 00:00:00,Denmark,14803
# Monthly Active Users,2025-01-01 00:00:00,Denmark,14359
# Monthly Active Users,2023-01-01 00:00:00,Sweden,14000
# Monthly Active Users,2023-02-01 00:00:00,Sweden,14280
# Monthly Active Users,2023-03-01 00:00:00,Sweden,15708
# Monthly Active Users,2023-04-01 00:00:00,Sweden,15551
# Monthly Active Users,2023-05-01 00:00:00,Sweden,15395
# Monthly Active Users,2023-06-01 00:00:00,Sweden,16781
# Monthly Active Users,2023-07-01 00:00:00,Sweden,17117
# Monthly Active Users,2023-08-01 00:00:00,Sweden,17459
# Monthly Active Users,2023-09-01 00:00:00,Sweden,19030
# Monthly Active Users,2023-10-01 00:00:00,Sweden,19791
# Monthly Active Users,2023-11-01 00:00:00,Sweden,21374
# Monthly Active Users,2023-12-01 00:00:00,Sweden,20733
# Monthly Active Users,2024-01-01 00:00:00,Sweden,21355
# Monthly Active Users,2024-02-01 00:00:00,Sweden,21355
# Monthly Active Users,2024-03-01 00:00:00,Sweden,23063
# Monthly Active Users,2024-04-01 00:00:00,Sweden,22371
# Monthly Active Users,2024-05-01 00:00:00,Sweden,22147
# Monthly Active Users,2024-06-01 00:00:00,Sweden,23033
# Monthly Active Users,2024-07-01 00:00:00,Sweden,21881
# Monthly Active Users,2024-08-01 00:00:00,Sweden,23413
# Monthly Active Users,2024-09-01 00:00:00,Sweden,23413
# Monthly Active Users,2024-10-01 00:00:00,Sweden,22711
# Monthly Active Users,2024-11-01 00:00:00,Sweden,22484
# Monthly Active Users,2024-12-01 00:00:00,Sweden,22484
# Monthly Active Users,2025-01-01 00:00:00,Sweden,22934
# Monthly Active Users,2023-01-01 00:00:00,Norway,8000
# Monthly Active Users,2023-02-01 00:00:00,Norway,8720
# Monthly Active Users,2023-03-01 00:00:00,Norway,8458
# Monthly Active Users,2023-04-01 00:00:00,Norway,8204
# Monthly Active Users,2023-05-01 00:00:00,Norway,8286
